Date,Country,City,Specie,count,min,max,median,variance
2021-02-16,Nigeria,Abuja,pm25,0,21.700000762939453,34.400001525878906,28.299999237060547,15.791476336969538
2021-02-17,Nigeria,Abuja,pm25,0,28.700000762939453,185.0,43.650001525878906,2284.343253015555
2021-02-18,Nigeria,Abuja,pm25,0,110.19999694824219,263.0,149.3000030517578,2047.4458138878108
2021-02-19,Nigeria,Abuja,pm25,0,123.80000305175781,491.8999938964844,206.89999389648438,19054.117188067175
2021-02-21,Nigeria,Abuja,pm25,0,124.5999984741211,246.89999389648438,140.1999969482422,1484.5178880007588
2021-02-22,Nigeria,Abuja,pm25,0,76.0999984741211,196.1999969482422,98.1500015258789,1052.8540104384447
2021-02-23,Nigeria,Abuja,pm25,0,41.29999923706055,162.1999969482422,77.19999694824219,1388.219920763062
2021-02-24,Nigeria,Abuja,pm25,0,39.900001525878906,106.5999984741211,52.29999923706055,401.10817308459445
2021-02-25,Nigeria,Abuja,pm25,0,88.19999694824219,171.6999969482422,130.3000030517578,520.8042699927464
2021-02-26,Nigeria,Abuja,pm25,0,167.1999969482422,195.39999389648438,175.3000030517578,102.99732632894666
2021-02-27,Nigeria,Abuja,pm25,0,151.3000030517578,203.1999969482422,168.10000610351562,492.84918003542407
2021-03-01,Nigeria,Abuja,pm25,0,30.700000762939453,173.1999969482422,36.54999923706055,1355.5918679684546
2021-03-02,Nigeria,Abuja,pm25,0,47.20000076293945,258.5,94.19999694824219,4773.116601279529
2021-03-03,Nigeria,Abuja,pm25,0,92.4000015258789,100.19999694824219,96.30000305175781,30.419999353262256
2021-03-04,Nigeria,Abuja,pm25,0,34.5,94.80000305175781,48.599998474121094,308.07397776401194
2021-03-05,Nigeria,Abuja,pm25,0,53.900001525878906,226.3000030517578,79.9000015258789,1919.17617473664
2021-03-06,Nigeria,Abuja,pm25,0,60.29999923706055,189.0,101.5999984741211,1085.7302031949075
2021-03-07,Nigeria,Abuja,pm25,0,72.9000015258789,218.6999969482422,96.0,1367.951220229501
2021-03-08,Nigeria,Abuja,pm25,0,38.400001525878906,183.8000030517578,71.5999984741211,1078.366645311995
2021-03-09,Nigeria,Abuja,pm25,0,52.400001525878906,112.4000015258789,77.80000305175781,370.50544481567704
2021-03-10,Nigeria,Abuja,pm25,0,65.0,86.80000305175781,67.0999984741211,85.96300439240076
2021-03-11,Nigeria,Abuja,pm25,0,40.400001525878906,51.5,46.29999923706055,17.32267813711951
2021-03-12,Nigeria,Abuja,pm25,0,19.600000381469727,76.5,51.400001525878906,271.1675857333612
2021-03-13,Nigeria,Abuja,pm25,0,35.099998474121094,116.5,60.20000076293945,634.8983501850162
2021-03-14,Nigeria,Abuja,pm25,0,53.0,146.39999389648438,64.5999984741211,617.8026706262026
2021-03-17,Nigeria,Abuja,pm25,0,55.099998474121094,152.60000610351562,80.9000015258789,800.3373178249603
2021-03-18,Nigeria,Abuja,pm25,0,23.399999618530273,166.8000030517578,91.30000305175781,992.0011581052713
2021-03-19,Nigeria,Abuja,pm25,0,56.0,97.5999984741211,68.44999694824219,157.68955789870324
2021-03-20,Nigeria,Abuja,pm25,0,63.599998474121094,91.0999984741211,67.6500015258789,83.76733382421753
2021-03-22,Nigeria,Abuja,pm25,0,35.400001525878906,130.0,39.70000076293945,844.2319466285735
2021-03-23,Nigeria,Abuja,pm25,0,26.0,104.0999984741211,62.0,361.18325078859925
2021-03-24,Nigeria,Abuja,pm25,0,30.0,80.80000305175781,41.79999923706055,269.15402423683554
2021-03-25,Nigeria,Abuja,pm25,0,25.0,74.0,48.04999923706055,255.488750378413
2021-03-26,Nigeria,Abuja,pm25,0,43.0,115.30000305175781,69.0,424.4085026675748
2021-03-27,Nigeria,Abuja,pm25,0,90.69999694824219,464.70001220703125,134.35000610351562,7746.924836665625
2021-03-28,Nigeria,Abuja,pm25,0,154.3000030517578,556.4000244140625,358.3999938964844,20527.833186328644
2021-03-29,Nigeria,Abuja,pm25,0,201.39999389648438,475.5,251.9499969482422,4446.037265623512
2021-03-30,Nigeria,Abuja,pm25,0,244.10000610351562,473.29998779296875,315.20001220703125,4295.62372908002
2021-03-31,Nigeria,Abuja,pm25,0,218.89999389648438,377.20001220703125,272.3999938964844,1992.8688435944641
